0.422779, -0.131054, -0.141957
0.322435, -0.013006, 0.373109
0.529368, 0.695540, 0.509980
0.066885, -0.412526, 0.549195
-0.211466, -0.205311, -0.095294
-0.597382, 0.340683, -0.616357
0.271859, -0.008889, -0.280755
-0.037368, -0.281642, -0.227664
-0.369588, -0.022440, -0.206594
0.297097, -0.011970, -0.584493
-0.620107, -0.725431, -0.436884
-0.291678, -0.287930, -0.202380
-0.115032, -0.208159, -0.356273
0.152054, -0.356034, -0.187575
0.825664, 0.196987, 0.041768
0.388466, -0.292074, 0.489644
-0.166991, -0.134864, 0.394507
-0.447048, 0.459950, 0.193623
-0.319581, 0.033018, 0.224732
0.899288, 0.324175, 0.610211
0.101477, 0.587647, 0.709449
-0.120958, 0.511231, 0.708678
-0.296847, -0.038273, 0.055887
-0.487063, 0.099360, -0.330755
-0.294300, 0.196605, -0.675718
-0.435198, -0.319378, -0.689511
0.107696, 0.209198, -0.292269
0.522313, -0.076926, -0.220066
0.814654, -0.320857, 0.445040
-0.161584, 0.006440, 0.231681
-0.048656, -0.075282, 0.506084
-0.235655, -0.229898, -0.054270
0.756551, 0.387376, 0.142784
0.223316, 0.390968, 0.262427
0.100432, 0.190641, 0.578215
-0.620222, 0.024988, 0.232131
0.010159, 0.810891, 0.258008
0.054325, 0.010428, 0.322361
-0.365058, 0.298808, 0.745211
0.060663, 0.440974, 0.229775
0.276946, 0.311643, 0.150850
0.231169, -0.141180, -0.365906
0.214241, 0.413488, 0.096168
0.458457, 0.405061, 0.204159
-0.019901, -0.178704, 0.613901
-0.003173, -0.216980, 0.398683
0.115836, 0.206192, 0.380617
0.250220, 0.251600, 0.414983
-0.392067, -0.318110, -0.058050
-0.327280, -0.266227, -0.390381
0.137324, 0.159746, -0.299366
-0.311947, -0.288301, -0.342573
-0.540634, -0.272380, -0.391170
0.012139, 0.491733, -0.184564
0.281040, -0.641414, -0.021437
-0.691170, -0.688189, -0.056318
0.674577, 0.632426, -0.213246
0.269868, -0.357318, -0.049070
0.413058, -0.179569, 0.543027
-0.011854, 0.226660, 0.087583
-0.414394, -0.393024, -0.275426
0.248860, 0.387335, -0.265738
0.028273, -0.131741, -0.011766
0.037672, -0.544008, 0.036082
-0.006519, 0.911345, -0.041693
0.222645, 0.021880, 0.313401
0.283543, -0.315410, 0.857159
-0.208631, 0.372312, 0.386213
-0.329011, 0.435608, 0.190875
-0.216831, -0.312413, -0.397733
-0.196350, -0.201694, -0.423018
0.251509, 0.156626, -0.861756
